,评论ID,评论内容,用户情绪
0,16512,还不错啊,1.0
1,16515,实验环境无法进行输入，可能是网络原因吧，或者其他问题,0.0
2,16518,abc,1.0
3,16521,因为所在网络不稳定，当网络出现掉线后，实验楼界面就无法点击和输入了,0.0
4,16524,很不错，很好理解,1.0
5,16527,能不能自由选择学习章节,0.0
6,16533,连接远程库这块说的不够清楚,0.0
7,16536,挺不错的就是有视频就好多了,0.0
8,16539,浏览器打不开,1.0
9,16542,重启下,1.0
10,16545,神奇,1.0
11,16548,还要从头开始学,1.0
12,16551,ok,1.0
13,16557,内容比较简单，容易上手,0.0
14,16560,...,1.0
15,16563,很喜欢这个课程,1.0
16,16566,很全面，加上再看看鸟哥的私房菜肯定就没问题了！,0.0
17,16569,非常不错！,1.0
18,16572,平台好,1.0
19,16578,python基础,1.0
20,16581,非常值得练习的一些操作,1.0
21,16587,实验文档详细,1.0
22,16590,感觉一般般！,1.0
23,16593,好累。。,1.0
24,16596,为什么中文输不进去，导致程序无法运行,0.0
25,16599,挺好的~,1.0
26,16602,python基础下,1.0
27,16605,。。怎么算有效时间,1.0
28,16608,还在熟悉环境阶段,1.0
29,16611,很不错,1.0
30,16614,编译器不是很好用，有点不舒服,0.0
31,16617,自己还是太笨了,1.0
32,16620,越来越喜欢了！,1.0
33,16632,我靠思考的时间就不算学习时间了？,0.0
34,16635,对vim使用还是不太方便的,1.0
35,16638,简单,1.0
36,16641,又做了个有趣的实验~,1.0
37,16644,为什么说有些命令找不到  比如banner,0.0
38,16647,可以  趣味不错,1.0
39,16653,感觉nice！,1.0
40,16659,不是很困难,0.0
41,16662,非常好,1.0
42,16665,有效学习时间不准确啊,0.0
43,16668,for有点特别,0.0
44,16674,挺好的,1.0
45,16677,代码规范很重要,1.0
46,16680,额。还有点不熟悉代码,0.0
47,16683,Interesting,1.0
48,16686,加油吧！,1.0
49,16689,想继续学好编程,1.0
50,16692,教学环境很好，会更努力学习,1.0
51,16707,嗯 很好,1.0
52,16710,以为只要写代码的，毕竟很基础，没想到还要写报告，然后markdown也不会用又去搜语法。最后感觉实验报告也写完了应该就完了却说还有一个没完成。,1.0
53,16713,linux桌面环境，没啥,0.0
54,16716,挺好的,1.0
55,16719,很喜欢这种方式 希望你们坚持到底 越做越好,1.0
56,16722,linux不是很容易上手啊.....,0.0
57,16725,加油,1.0
58,16728,延迟。。。。,1.0
59,16731,简单的了解了vim的基本操作，需要用的时候可以针对性进行搜索,0.0
60,16734,很详细,1.0
61,16737,测试测试测试测试测试测试测试测试测试测试测试测试测试测试测试测试,0.0
62,16740,just for fun,0.0
63,16743,很棒，对我来说是一次很大的锻炼,0.0
64,16746,垃圾,1.0
65,16749,挺好的，在线自学感觉掌握的还不错，继续努力,1.0
66,16752,讲的很详细，对数据库的操作更熟练了。感谢实验楼！,0.0
67,16755,还是不太熟悉操作环境，所以很生疏，实验报告也不是熟练,0.0
68,16758,挺与时俱进的，不错！,1.0
69,16761,测试部分讲的不够详细，,0.0
70,16764,基础文档缺乏，没经验的人看起来好累,0.0
71,16767,东西太多，记不住。。。,0.0
72,16770,本章教程有误 IF语句后面不加else会连续显示语句,0.0
73,16773,非常棒的平台学习平台,1.0
74,16776,非常实用的实验！！,1.0
75,16782,赞,1.0
76,16785,还没有想好怎么去做,1.0
